job_title,company,location,category,contract_type,created_date,avg_salary,description,skills,skills_count,salary_available
Data Engineer / Data Modeler,Salt,India,IT Jobs,contract,2025-12-10 16:48:55+00:00,,"HIRING I am looking for Data Engineers to work on a short 10 week contract for one of my clients in Abu Dhabi. This role is fully remote and may extend beyond the end of the contract. Job Title – Data Engineer / Data Modeler Salary / Day Rate – USD 290 – USD 310 Per Day Contract Length – 10 Weeks Location – Fully Remote Start Date – ASAP – Subject to Security Clearance. I am looking for an experienced Data Engineer who is a SQL, Data Modelling expert and will design, build, and maintain the dat…",sql,1,0
Data Engineer/Data Scientist,Luxoft,"Pune, Maharashtra",IT Jobs,,2025-12-18 08:44:53+00:00,,"Project Description: We are seeking a Python Developer with strong expertise in Java and SQL to design, develop, and maintain scalable software solutions within a cloud-enabled environment. The role involves working on high-impact applications, supporting CI/CD pipelines, and leveraging Azure cloud for deployment and management. You will play a key role in architecture discussions, mentoring juniors, and ensuring high-quality software delivery within an Agile/Scrum setup. Responsibilities A hig…","python, sql",2,0
Data Scientist / Data Engineer (Analytics  Data Pipelines),Eurisko,India,IT Jobs,,2025-12-21 18:40:58+00:00,,"We’re hiring a Data Scientist / Data Engineer to help us turn raw data into reliable datasets, insights, and models that drive real decisions. This role blends strong data engineering (pipelines, quality, orchestration) with hands-on data science (analysis, experimentation, forecasting, ML when needed). You’ll work closely with product and engineering teams to build data products that are accurate, scalable, and actionable. What you’ll do Design and build end-to-end data pipelines (batch and, i…",,0,0
Azure Data engineer with data bricks,Tata Consultancy Services,India,IT Jobs,,2025-12-05 01:29:23+00:00,,"Dear Candidate, Greetings from TATA Consultancy Services Thank you for expressing your interest in exploring a career possibility with the TCS Family. Hiring For:- Azure Data engineer with data bricks Location: Bangalore, Chennai, Delhi, Mumbai, Pune, Hyderabad Experience: 5 yrs Roles & Responsibilities Expertise: Good Knowledge of Data Brick lakehouse and Azure DataLake concept Knowledge of Data Bricks delta concept– Delta live tables (DLT) Strong hands-on experience in ELT– pipeline developme…",,0,0
Sr. Data Modeler & Data Analyst,Cliff IT Solutions Inc.,"Hyderabad, Telangana",IT Jobs,,2025-07-14 09:36:10+00:00,,"Company Description Cliff IT Solutions is a provider of Identity Management and Security governance solutions for onsite and cloud applications, helping organizations enforce security, reduce risk, and maximize profitability. We deliver end-to-end integration of industry-leading identity access management products and cloud-based applications. Cliff IT Solutions transforms ideas into quality products using cutting-edge technologies and domain expertise. We emphasize teamwork and collaboration, …",,0,0
Senior Data Engineer- Big Data,HG Insights,"Pune, Maharashtra",IT Jobs,,2025-12-20 09:06:31+00:00,,"About Us HG Insights is the global leader in technology intelligence, delivering actionable AI driven insights through advanced data science and scalable big data solutions. What You’ll Do: Design, build, and optimize large-scale distributed data pipelines for processing billions of unstructured documents using Databricks, Apache Spark, and cloud-native big data tools Architect and scale enterprise-grade big-data systems, including data lakes, ETL/ELT workflows, and syndication platforms for cu…",,0,0
Data Scientist/ Sr Data Scientist,Aria Intelligent Solutions,"Delhi, India",Scientific & QA Jobs,,2025-12-05 01:29:04+00:00,,"As a Data Scientist/Senior Data Scientist – Price Optimization, Demand Modelling & Forecasting, you will play a critical role in developing and deploying advanced machine learning models for price optimization, cannibalization impact analysis, and demand forecasting. In addition to your technical expertise, you'll be a key point of contact for client management—leading client-facing projects and delivering actionable insights to address complex business problems. You will collaborate closely wi…",machine learning,1,0
Data Analyst,"NTT DATA, Inc.",India,IT Jobs,,2025-12-12 09:49:02+00:00,,"Data Analyst Experience 4 Years Job Location/Work Mode Bangalore GDC – Hybrid Notice Period 0-30 Days Skills/Domain Experience Networking/Infra domain experience is must. SQL, Data Visualization tools, Dashboarding, Python","python, sql",2,0
Data Architect,Ally-eXecutive HR,India,IT Jobs,,2025-12-16 18:13:09+00:00,,"InsureTech Co hiring Role: Data Architect Location: Gurgaon/ Noida Architecture: 4 yrs Industry: InsureTech Role Summary To build modern Insurtech AI underpinned solutions, they are a growing team of hands on architects striving to build high quality solutions for their internal and external customers. The Data Architect is responsible for designing enterprise data solutions including data warehouses, data lakes, and analytics platforms. This role defines data strategy, establishes data governa…",,0,0
Data Modeller,Tata Consultancy Services,"Bangalore, Karnataka",IT Jobs,,2025-12-18 08:43:28+00:00,,"Role - Data Modeler Experience - 5 - 15 years Location - PAN INDIA Job description Must Have Data Modeling: In-depth knowledge of data modeling concepts, including entity-relationship modeling, dimensional modeling, and data vault modeling. Data Warehousing: Strong understanding of data warehousing concepts, including ETL, data marts, and data lakes. Data Governance: Familiarity with data governance frameworks, including data quality, data security, and data compliance. Communication: Excellent…",excel,1,0
